53 op 11  0.195510 ms
53 op 12  0.509077 ms
53 op 30  0.506345 ms
53 op 31  0.198672 ms
53 op 32  0.511461 ms
53 op 34  0.603957 ms
53 op 35  0.606752 ms

54 op 0  0.095093 ms
54 op 1  0.097853 ms
54 op 10  0.502940 ms
54 op 11  0.195982 ms
54 op 12  0.508658 ms
54 op 30  0.505780 ms
54 op 31  0.198986 ms
54 op 32  0.511811 ms
54 op 34  0.603824 ms
54 op 35  0.606683 ms

55 op 0  0.095163 ms
55 op 1  0.098019 ms
55 op 10  0.503342 ms
55 op 11  0.196016 ms
55 op 12  0.509031 ms
55 op 30  0.506193 ms
55 op 31  0.198822 ms
55 op 32  0.511963 ms
55 op 34  0.604220 ms
55 op 35  0.607230 ms

56 op 0  0.095032 ms
56 op 1  0.098137 ms
56 op 10  0.500087 ms
56 op 11  0.195510 ms
56 op 12  0.505685 ms
56 op 30  0.502916 ms
56 op 31  0.198325 ms
56 op 32  0.508427 ms
56 op 34  0.600886 ms
56 op 35  0.603685 ms

57 op 0  0.095124 ms
57 op 1  0.097892 ms
57 op 10  0.501321 ms
57 op 11  0.195817 ms
57 op 12  0.506922 ms
57 op 30  0.504152 ms
57 op 31  0.198792 ms
57 op 32  0.509325 ms
57 op 34  0.602361 ms
57 op 35  0.604934 ms

58 op 0  0.095772 ms
58 op 1  0.098469 ms
58 op 10  0.500745 ms
58 op 11  0.196243 ms
58 op 12  0.505895 ms
58 op 30  0.503330 ms
58 op 31  0.198967 ms
58 op 32  0.508337 ms
58 op 34  0.601644 ms
58 op 35  0.604581 ms

59 op 0  0.094956 ms
59 op 1  0.097859 ms
59 op 10  0.502573 ms
59 op 11  0.195398 ms
59 op 12  0.508375 ms
59 op 30  0.505352 ms
59 op 31  0.198137 ms
59 op 32  0.511082 ms
59 op 34  0.603382 ms
59 op 35  0.606168 ms

60 op 0  0.095232 ms
60 op 1  0.098023 ms
60 op 10  0.502027 ms
60 op 11  0.195825 ms
60 op 12  0.507618 ms
60 op 30  0.504835 ms
60 op 31  0.198726 ms
60 op 32  0.510088 ms
60 op 34  0.603148 ms
60 op 35  0.605793 ms

61 op 0  0.095129 ms
61 op 1  0.097843 ms
61 op 10  0.502857 ms
61 op 11  0.196110 ms
61 op 12  0.507877 ms
61 op 30  0.505552 ms
61 op 31  0.198857 ms
61 op 32  0.510502 ms
61 op 34  0.602817 ms
61 op 35  0.605626 ms

62 op 0  0.095105 ms
62 op 1  0.098277 ms
62 op 10  0.513447 ms
62 op 11  0.196125 ms
62 op 12  0.519175 ms
62 op 30  0.516411 ms
62 op 31  0.198951 ms
62 op 32  0.522627 ms
62 op 34  0.614471 ms
62 op 35  0.617532 ms

63 op 0  0.094592 ms
63 op 1  0.097954 ms
63 op 10  0.501624 ms
63 op 11  0.199568 ms
63 op 12  0.507066 ms
63 op 30  0.504394 ms
63 op 31  0.202502 ms
63 op 32  0.509977 ms
63 op 34  0.602754 ms
63 op 35  0.605552 ms

64 op 0  0.094912 ms
64 op 1  0.097816 ms
64 op 10  0.503124 ms
64 op 11  0.195708 ms
64 op 12  0.508423 ms
64 op 30  0.505811 ms
64 op 31  0.198684 ms
64 op 32  0.510422 ms
64 op 34  0.604544 ms
64 op 35  0.607289 ms

65 op 0  0.094658 ms
65 op 1  0.097568 ms
65 op 10  0.502723 ms
65 op 11  0.195340 ms
65 op 12  0.510447 ms
65 op 30  0.505527 ms
65 op 31  0.198287 ms
65 op 32  0.514320 ms
65 op 34  0.604054 ms
65 op 35  0.606940 ms

66 op 0  0.094689 ms
66 op 1  0.098016 ms
66 op 10  0.502467 ms
66 op 11  0.195182 ms
66 op 12  0.508153 ms
66 op 30  0.505245 ms
66 op 31  0.197930 ms
66 op 32  0.510639 ms
66 op 34  0.603340 ms
66 op 35  0.606613 ms

67 op 0  0.094837 ms
67 op 1  0.097882 ms
67 op 10  0.501914 ms
67 op 11  0.195845 ms
67 op 12  0.507502 ms
67 op 30  0.504823 ms
67 op 31  0.198860 ms
67 op 32  0.510168 ms
67 op 34  0.602803 ms
67 op 35  0.605778 ms

68 op 0  0.094915 ms
68 op 1  0.097886 ms
68 op 10  0.502603 ms
68 op 11  0.195840 ms
68 op 12  0.508297 ms
68 op 30  0.505453 ms
68 op 31  0.198753 ms
68 op 32  0.510379 ms
68 op 34  0.603351 ms
68 op 35  0.606218 ms

69 op 0  0.094765 ms
69 op 1  0.097836 ms
69 op 10  0.502599 ms
69 op 11  0.195436 ms
69 op 12  0.507975 ms
69 op 30  0.505305 ms
69 op 31  0.198033 ms
69 op 32  0.512060 ms
69 op 34  0.603576 ms
69 op 35  0.606526 ms

70 op 0  0.095056 ms
70 op 1  0.098041 ms
70 op 10  0.502444 ms
70 op 11  0.196010 ms
70 op 12  0.508006 ms
70 op 30  0.505239 ms
70 op 31  0.198678 ms
70 op 32  0.510413 ms
70 op 34  0.603146 ms
70 op 35  0.606065 ms

71 op 0  0.095000 ms
71 op 1  0.097860 ms
71 op 10  0.502667 ms
71 op 11  0.195728 ms
71 op 12  0.508117 ms
71 op 30  0.505348 ms
71 op 31  0.198577 ms
71 op 32  0.511187 ms
71 op 34  0.603699 ms
71 op 35  0.606613 ms

